,id_x,player_name_x,games_x,time_x,goals_x,xG_x,assists_x,xA_x,shots_x,key_passes_x,yellow_cards_x,red_cards_x,position_x,team_title,npg_x,npxG_x,xGChain_x,xGBuildup_x,season_x,id_y,player_name_y,games_y,time_y,goals_y,xG_y,assists_y,xA_y,shots_y,key_passes_y,yellow_cards_y,red_cards_y,position_y,npg_y,npxG_y,xGChain_y,xGBuildup_y,season_y,id,player_name,games,time,goals,xG,assists,xA,shots,key_passes,yellow_cards,red_cards,position,npg,npxG,xGChain,xGBuildup,season
77116,1543.0,Sergej Milinkovic-Savic,34.0,2733.0,4.0,5.6442204136401415,7.0,3.6739867739379406,69.0,40.0,8.0,0.0,M S,Lazio,4.0,5.6442204136401415,13.225587874650955,6.196378504857421,1617.0,1209.0,Ciro Immobile,33.0,2706.0,29.0,21.299790805205703,9.0,6.810373587533832,110.0,37.0,3.0,1.0,F,22.0,15.209521709010005,23.533577501773834,5.524158029817045,1718.0,1209.0,Ciro Immobile,36.0,2862.0,15.0,16.13044342212379,6.0,6.479808636009692,124.0,55.0,6.0,0.0,F S,11.0,13.08528813533485,24.19428303092718,8.138662338256836,1819.0
77737,1589.0,Lucas Biglia,29.0,2289.0,4.0,5.0852322559803715,3.0,3.619375768117607,26.0,54.0,8.0,0.0,M S,Lazio,1.0,1.2787381447851658,10.701564583927393,8.703277016989889,1617.0,1209.0,Ciro Immobile,33.0,2706.0,29.0,21.299790805205703,9.0,6.810373587533832,110.0,37.0,3.0,1.0,F,22.0,15.209521709010005,23.533577501773834,5.524158029817045,1718.0,1209.0,Ciro Immobile,36.0,2862.0,15.0,16.13044342212379,6.0,6.479808636009692,124.0,55.0,6.0,0.0,F S,11.0,13.08528813533485,24.19428303092718,8.138662338256836,1819.0
78358,1205.0,Senad Lulic,31.0,2501.0,3.0,3.68583859782666,9.0,7.386482754722238,30.0,66.0,7.0,1.0,D F M S,Lazio,3.0,3.68583859782666,17.348287984728813,8.678414102643726,1617.0,1209.0,Ciro Immobile,33.0,2706.0,29.0,21.299790805205703,9.0,6.810373587533832,110.0,37.0,3.0,1.0,F,22.0,15.209521709010005,23.533577501773834,5.524158029817045,1718.0,1209.0,Ciro Immobile,36.0,2862.0,15.0,16.13044342212379,6.0,6.479808636009692,124.0,55.0,6.0,0.0,F S,11.0,13.08528813533485,24.19428303092718,8.138662338256836,1819.0
78979,1203.0,Wesley Hoedt,23.0,1880.0,2.0,1.2743282951414583,0.0,0.14589961990714073,20.0,4.0,5.0,0.0,D S,Lazio,2.0,1.2743282951414583,7.373420730233192,7.242130111902952,1617.0,1209.0,Ciro Immobile,33.0,2706.0,29.0,21.299790805205703,9.0,6.810373587533832,110.0,37.0,3.0,1.0,F,22.0,15.209521709010005,23.533577501773834,5.524158029817045,1718.0,1209.0,Ciro Immobile,36.0,2862.0,15.0,16.13044342212379,6.0,6.479808636009692,124.0,55.0,6.0,0.0,F S,11.0,13.08528813533485,24.19428303092718,8.138662338256836,1819.0
79600,1212.0,Alessandro Murgia,14.0,474.0,2.0,0.6552530135959387,0.0,0.3357779625803232,6.0,6.0,1.0,0.0,M S,Lazio,2.0,0.6552530135959387,1.4864423917606473,1.3168843965977428,1617.0,1209.0,Ciro Immobile,33.0,2706.0,29.0,21.299790805205703,9.0,6.810373587533832,110.0,37.0,3.0,1.0,F,22.0,15.209521709010005,23.533577501773834,5.524158029817045,1718.0,1209.0,Ciro Immobile,36.0,2862.0,15.0,16.13044342212379,6.0,6.479808636009692,124.0,55.0,6.0,0.0,F S,11.0,13.08528813533485,24.19428303092718,8.138662338256836,1819.0
80221,1541.0,Stefan de Vrij,27.0,2282.0,2.0,0.6868182411417365,3.0,1.2390069514513016,9.0,8.0,3.0,0.0,D,Lazio,2.0,0.6868182411417365,5.165003577247262,4.708928236737846,1617.0,1209.0,Ciro Immobile,33.0,2706.0,29.0,21.299790805205703,9.0,6.810373587533832,110.0,37.0,3.0,1.0,F,22.0,15.209521709010005,23.533577501773834,5.524158029817045,1718.0,1209.0,Ciro Immobile,36.0,2862.0,15.0,16.13044342212379,6.0,6.479808636009692,124.0,55.0,6.0,0.0,F S,11.0,13.08528813533485,24.19428303092718,8.138662338256836,1819.0
80842,1542.0,Stefan Radu,29.0,2423.0,2.0,0.8417328167706728,1.0,1.0562830157577991,13.0,10.0,10.0,0.0,D,Lazio,2.0,0.8417328167706728,7.277207188308238,6.446731010451912,1617.0,1209.0,Ciro Immobile,33.0,2706.0,29.0,21.299790805205703,9.0,6.810373587533832,110.0,37.0,3.0,1.0,F,22.0,15.209521709010005,23.533577501773834,5.524158029817045,1718.0,1209.0,Ciro Immobile,36.0,2862.0,15.0,16.13044342212379,6.0,6.479808636009692,124.0,55.0,6.0,0.0,F S,11.0,13.08528813533485,24.19428303092718,8.138662338256836,1819.0
81463,1201.0,Dusan Basta,27.0,2128.0,1.0,0.3905623857863248,2.0,1.9462275840342045,12.0,12.0,2.0,0.0,D M S,Lazio,1.0,0.3905623857863248,5.8494937531650075,4.1568503677845,1617.0,1209.0,Ciro Immobile,33.0,2706.0,29.0,21.299790805205703,9.0,6.810373587533832,110.0,37.0,3.0,1.0,F,22.0,15.209521709010005,23.533577501773834,5.524158029817045,1718.0,1209.0,Ciro Immobile,36.0,2862.0,15.0,16.13044342212379,6.0,6.479808636009692,124.0,55.0,6.0,0.0,F S,11.0,13.08528813533485,24.19428303092718,8.138662338256836,1819.0
82084,1202.0,Wallace,25.0,1721.0,1.0,1.1903223674744368,0.0,0.08695168979465961,7.0,3.0,3.0,0.0,D S,Lazio,1.0,1.1903223674744368,5.449910715222359,4.748677387833594,1617.0,1209.0,Ciro Immobile,33.0,2706.0,29.0,21.299790805205703,9.0,6.810373587533832,110.0,37.0,3.0,1.0,F,22.0,15.209521709010005,23.533577501773834,5.524158029817045,1718.0,1209.0,Ciro Immobile,36.0,2862.0,15.0,16.13044342212379,6.0,6.479808636009692,124.0,55.0,6.0,0.0,F S,11.0,13.08528813533485,24.19428303092718,8.138662338256836,1819.0
82705,1218.0,Cristiano Lombardi,18.0,420.0,1.0,1.7233959771692753,0.0,0.20999793335795405,10.0,3.0,4.0,0.0,F S,Lazio,1.0,1.7233959771692753,2.4382671564817433,0.5706540402024984,1617.0,1209.0,Ciro Immobile,33.0,2706.0,29.0,21.299790805205703,9.0,6.810373587533832,110.0,37.0,3.0,1.0,F,22.0,15.209521709010005,23.533577501773834,5.524158029817045,1718.0,1209.0,Ciro Immobile,36.0,2862.0,15.0,16.13044342212379,6.0,6.479808636009692,124.0,55.0,6.0,0.0,F S,11.0,13.08528813533485,24.19428303092718,8.138662338256836,1819.0
