,id,player_name,games_18,time_18,goals_18,xG_18,assists_18,xA_18,shots_18,key_passes_18,team_title_18,npg_18,npxG_18,league_18,games_17,time_17,goals_17,xG_17,assists_17,xA_17,shots_17,key_passes_17,team_title_17,npg_17,npxG_17,league_17,games_16,time_16,goals_16,xG_16,assists_16,xA_16,shots_16,key_passes_16,team_title_16,npg_16,npxG_16,league_16
195,572,Etienne Capoue,33.0,2951.0,1.0,1.2973155491054058,3.0,1.369269479997456,18.0,10.0,Watford,1.0,1.2973155491054058,EPL,23.0,1544.0,1.0,0.97593161650002,0.0,0.7933372743427753,23.0,8.0,Watford,1.0,0.97593161650002,EPL,37.0,3231.0,7.0,3.717310607433319,1.0,1.5092956051230433,50.0,37.0,Watford,7.0,3.717310607433319,EPL
196,587,Phil Jagielka,7.0,323.0,1.0,0.626363217830658,0.0,0.09909354895353316,1.0,2.0,Everton,1.0,0.626363217830658,EPL,25.0,2066.0,0.0,0.803629893809557,0.0,0.0,7.0,0.0,Everton,0.0,0.803629893809557,EPL,27.0,2252.0,3.0,1.2690291479229927,2.0,0.7028567343950272,14.0,5.0,Everton,3.0,1.2690291479229927,EPL
197,593,Aaron Lennon,16.0,1223.0,1.0,0.9156383182853459,1.0,0.6648929566144943,4.0,7.0,Burnley,1.0,0.9156383182853459,EPL,29.0,1933.0,0.0,0.6670304220169783,2.0,1.2378193028271198,14.0,11.0,"Burnley,Everton",0.0,0.6670304220169783,EPL,11.0,511.0,0.0,0.27522714622318745,1.0,0.5299302022904158,5.0,6.0,Everton,0.0,0.27522714622318745,EPL
198,596,Tom Cleverley,13.0,453.0,1.0,0.17453297600150108,0.0,0.11326443403959276,4.0,1.0,Watford,1.0,0.17453297600150108,EPL,23.0,1909.0,1.0,1.775613322854042,2.0,1.4005652079358697,16.0,29.0,Watford,1.0,1.0144444853067398,EPL,27.0,1839.0,0.0,0.7425860371440649,2.0,1.7099989047273991,10.0,28.0,"Everton,Watford",0.0,0.7425860371440649,EPL
199,602,Dejan Lovren,13.0,988.0,1.0,0.9101980663836002,0.0,0.10816649347543716,6.0,1.0,Liverpool,1.0,0.9101980663836002,EPL,29.0,2121.0,2.0,2.011371299624443,1.0,1.3272360973060129,13.0,7.0,Liverpool,2.0,2.011371299624443,EPL,29.0,2559.0,2.0,1.1365952678024769,1.0,0.44400021620094776,15.0,7.0,Liverpool,2.0,1.1365952678024769,EPL
200,605,Jordan Henderson,32.0,1979.0,1.0,1.5131637733429668,3.0,1.6871283408254385,16.0,15.0,Liverpool,1.0,1.5131637733429668,EPL,27.0,2172.0,1.0,1.13743712939322,1.0,1.9537714580073955,15.0,25.0,Liverpool,1.0,1.13743712939322,EPL,24.0,2122.0,1.0,0.7973983138799667,4.0,2.579310461878777,17.0,32.0,Liverpool,1.0,0.7973983138799667,EPL
201,606,Christian Benteke,16.0,808.0,1.0,3.7290372187271714,1.0,1.1865844065323472,26.0,9.0,Crystal Palace,1.0,3.7290372187271714,EPL,31.0,2224.0,3.0,11.166231762617826,5.0,3.2765041692182417,59.0,27.0,Crystal Palace,2.0,9.643894027918575,EPL,36.0,3153.0,15.0,17.355857238173485,2.0,2.0585758015513416,105.0,32.0,Crystal Palace,13.0,14.311181794852018,EPL
202,612,Vincent Kompany,17.0,1221.0,1.0,0.24023434054106474,0.0,0.07192530483007431,5.0,1.0,Manchester City,1.0,0.24023434054106474,EPL,17.0,1401.0,1.0,1.0201520342379808,1.0,0.40822996478527773,9.0,4.0,Manchester City,1.0,1.0201520342379808,EPL,11.0,826.0,3.0,0.6902353931218386,0.0,0.5746741145849228,9.0,2.0,Manchester City,3.0,0.6902353931218386,EPL
203,614,Fernandinho,29.0,2397.0,1.0,1.7180058201774957,3.0,3.1326744575053453,30.0,22.0,Manchester City,1.0,1.7180058201774957,EPL,34.0,2890.0,5.0,2.466341163031757,3.0,2.8430620953440666,47.0,21.0,Manchester City,5.0,2.466341163031757,EPL,32.0,2752.0,2.0,3.2935857782140374,1.0,2.466229073703289,36.0,33.0,Manchester City,2.0,3.2935857782140374,EPL
204,620,Kelechi Iheanacho,30.0,911.0,1.0,2.5798534471541643,3.0,1.3410559296607971,18.0,13.0,Leicester,1.0,2.5798534471541643,EPL,21.0,809.0,3.0,4.825845109298825,3.0,2.0846437010914087,29.0,11.0,Leicester,3.0,4.825845109298825,EPL,20.0,515.0,4.0,4.739897482097148,3.0,2.5343908518552785,22.0,13.0,Manchester City,4.0,4.739897482097148,EPL
